TeamName,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11
South Africa 1963-64,TL Goddard,EJ Barlow,AJ Pithey,RG Pollock,KC Bland,PR Carlstein,DT Lindsay,PM Pollock,MA Seymour,JT Partridge,CG Halse
South Africa 1969-70,BA Richards,EJ Barlow,A Bacher,RG Pollock,TL Goddard,BL Irvine,DT Lindsay,HR Lance,AJ Traicos,PM Pollock,MJ Procter
South Africa 1992-93,AC Hudson,KC Wessels,WJ Cronje,PN Kirsten,BM McMillan,JN Rhodes,DJ Richardson,O Henry,CR Matthews,AA Donald,BN Schultz
South Africa 1997-98,AM Bacher,G Kirsten,HD Ackerman,DJ Cullinan,WJ Cronje,JH Kallis,SM Pollock,MV Boucher,AA Donald,PR Adams,M Ntini
South Africa 2003-04,GC Smith,HH Gibbs,JA Rudolph,JH Kallis,G Kirsten,ND McKenzie,MV Boucher,SM Pollock,AJ Hall,M Ntini,A Nel
South Africa 2008-09,GC Smith,ND McKenzie,HM Amla,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,M Morkel,PL Harris,DW Steyn,M Ntini
South Africa 2014-15,AN Petersen,D Elgar,F du Plessis,HM Amla,AB de Villiers,S van Zyl,Q de Kock,VD Philander,DW Steyn,M Morkel,KJ Abbott
South Africa 2021-22,D Elgar,AK Markram,KD Petersen,HE van der Dussen,T Bavuma,K Verreynne,M Jansen,K Rabada,KA Maharaj,D Olivier,L Ngidi
South Africa 2025-26,AK Markram,RD Rickelton,T Stubbs,T Bavuma,T de Zorzi,PWA Mulder,S Muthusamy,K Verreynne,M Jansen,SR Harmer,KA Maharaj
Sri Lanka 1981-82,B Warnapura,S Wettimuny,RL Dias,LRD Mendis,RS Madugalle,A Ranatunga,SKL de Silva,ALF de Mel,LWS Kaluperuma,HM Goonatilleke,GRA de Silva
Sri Lanka 1990-91,CP Senanayake,UC Hathurusingha,AP Gurusinha,PA de Silva,HP Tillakaratne,ST Jayasuriya,CPH Ramanayake,A Ranatunga,EAR de Silva,GF Labrooy,RJ Ratnayake
Sri Lanka 1995-96,RS Mahanama,UC Hathurusingha,AP Gurusinha,PA de Silva,A Ranatunga,HP Tillakaratne,HDPK Dharmasena,CI Dunusinghe,WPUJC Vaas,M Muralidaran,GP Wickramasinghe
Sri Lanka 2001,MS Atapattu,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,RP Arnold,DK Liyanage,HP Tillakaratne,TT Samaraweera,WPUJC Vaas,CRD Fernando,M Muralidaran
Sri Lanka 2006,WU Tharanga,ST Jayasuriya,KC Sangakkara,DPMD Jayawardene,TM Dilshan,CK Kapugedera,HAPW Jayawardene,MF Maharoof,WPUJC Vaas,SL Malinga,M Muralidaran
Sri Lanka 2010-11,NT Paranavitana,TM Dilshan,KC Sangakkara,DPMD Jayawardene,TT Samaraweera,AD Mathews,HAPW Jayawardene,KMDN Kulasekara,HMRKB Herath,BAW Mendis,RAS Lakmal
Sri Lanka 2015-16,FDM Karunaratne,JK Silva,HDRL Thirimanne,LD Chandimal,AD Mathews,TAM Siriwardana,MDKJ Perera,KTGD Prasad,HMRKB Herath,PHT Kaushal,N Pradeep
Sri Lanka 2021,FDM Karunaratne,HDRL Thirimanne,BOP Fernando,AD Mathews,DM de Silva,P Nissanka,N Dickwella,RTM Mendis,RAS Lakmal,MVT Fernando,P Jayawickrama
Sri Lanka 2025,P Nissanka,LU Igalagamage,LD Chandimal,AD Mathews,PHKD Mendis,DM de Silva,BKG Mendis,RMMP Rathnayake,KTH Ratnayake,NGRP Jayasuriya,AM Fernando
West Indies 1930-31,FR Martin,CA Roach,GA Headley,GC Grant,JED Sealy,LN Constantine,EL Bartlett,IM Barrow,OC Scott,GN Francis,HC Griffith
West Indies 1955,JKC Holt,CL Walcott,GS Sobers,ED Weekes,FMM Worrell,OG Smith,DS Atkinson,CC Depeiaza,S Ramadhin,FM King,AL Valentine
West Indies 1960-61,CC Hunte,CW Smith,RB Kanhai,GS Sobers,FMM Worrell,SM Nurse,JS Solomon,FCM Alexander,LR Gibbs,WW Hall,AL Valentine
West Indies 1968-69,GS Camacho,MC Carew,RB Kanhai,SM Nurse,BF Butcher,GS Sobers,CH Lloyd,DAJ Holford,JL Hendriks,HC Griffith,LR Gibbs
West Indies 1973,RC Fredericks,LG Rowe,AI Kallicharran,CH Lloyd,RB Kanhai,GS Sobers,DL Murray,BD Julien,KD Boyce,Inshan Ali,LR Gibbs
West Indies 1975-76,RC Fredericks,LG Rowe,AI Kallicharran,IVA Richards,CH Lloyd,VA Holder,DL Murray,KD Boyce,MA Holding,AME Roberts,LR Gibbs
West Indies 1984,CG Greenidge,DL Haynes,HA Gomes,IVA Richards,CH Lloyd,PJL Dujon,EAE Baptiste,RA Harper,MD Marshall,J Garner,MA Holding
West Indies 1988-89,CG Greenidge,DL Haynes,RB Richardson,CL Hooper,IVA Richards,AL Logie,PJL Dujon,MD Marshall,CEL Ambrose,CA Walsh,BP Patterson
West Indies 1995,CL Hooper,SL Campbell,BC Lara,JC Adams,KLT Arthurton,RB Richardson,JR Murray,IR Bishop,CEL Ambrose,CA Walsh,KCG Benjamin
West Indies 2000,SL Campbell,CH Gayle,WW Hinds,BC Lara,S Chanderpaul,JC Adams,RD Jacobs,CEL Ambrose,FA Rose,RD King,CA Walsh
West Indies 2005,CH Gayle,DS Smith,RR Sarwan,BC Lara,S Chanderpaul,WW Hinds,CO Browne,DBL Powell,FH Edwards,RD King,CD Collymore
West Indies 2010-11,CH Gayle,AB Barath,DM Bravo,S Chanderpaul,BP Nash,DJ Bravo,CS Baugh,DJG Sammy,SJ Benn,S Shillingford,KAJ Roach
West Indies 2015-16,KC Brathwaite,SD Hope,DM Bravo,MN Samuels,J Blackwood,D Ramdin,JO Holder,CR Brathwaite,KAJ Roach,JE Taylor,JA Warrican
West Indies 2020,KC Brathwaite,JD Campbell,SD Hope,SSJ Brooks,RL Chase,J Blackwood,SO Dowrich,JO Holder,AS Joseph,KAJ Roach,ST Gabriel
West Indies 2025-26,JD Campbell,T Chanderpaul,A Athanaze,SD Hope,RL Chase,JP Greaves,TA Imlach,KAJ Roach,J Layne,JNT Seales,O Shields
Zimbabwe 1993-94,GW Flower,MH Dekker,ADR Campbell,DL Houghton,A Flower,GJ Whittall,DH Brain,EA Brandes,SG Peall,HH Streak,JA Rennie
Zimbabwe 1998-99,GJ Rennie,GW Flower,MW Goodwin,ADR Campbell,A Flower,NC Johnson,CB Wishart,HH Streak,AR Whittall,HK Olonga,M Mbangwa
Zimbabwe 2003-04,DD Ebrahim,TR Gripper,SV Carlisle,GW Flower,T Taibu,SM Ervine,HH Streak,AM Blignaut,GM Ewing,RW Price,DT Hondo
Zimbabwe 2013,T Maruma,V Sibanda,H Masakadza,BRM Taylor,MN Waller,E Chigumbura,R Mutumbami,AG Cremer,KO Meth,SW Masakadza,KM Jarvis
Zimbabwe 2021,KT Kasuza,TK Musakanda,RW Chakabva,BRM Taylor,M Shumba,TS Chisoro,LM Jongwe,DT Tiripano,R Kaia,R Ngarava,B Muzarabani
Zimbabwe 2025,BJ Bennett,BRM Taylor,NR Welch,SC Williams,CR Ervine,Sikandar Raza,TE Tsiga,T Gwandu,V Masekesa,B Muzarabani,TL Chivanga
